"Source:","C:\Users\Alex\Documents\microclem\hardware\base\microclem_base.sch"
"Date:","13/03/2021 16:22:15"
"Tool:","Eeschema (5.1.7)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","CB1","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB2","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB3","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB4","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB5","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB6","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB7","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB8","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB9","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB10","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB11","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB12","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB13","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB14","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB15","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB16","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB17","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB18","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"","","CB19","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
